Wall time,Step,Value
1718457719.8885117,0,1185.9212646484375
1718457722.8938806,1,1181.0281982421875
1718457725.8870583,2,1176.9451904296875
1718457728.78772,3,1173.5032958984375
1718457731.7149577,4,1170.67529296875
1718457734.7277746,5,1168.422119140625
1718457737.7140458,6,1166.712890625
1718457740.7439735,7,1165.527587890625
1718457743.8338275,8,1164.75390625
1718457746.9657967,9,1164.241943359375
1718457750.0597482,10,1163.9095458984375
1718457753.1024516,11,1163.6998291015625
1718457756.3327696,12,1163.5
1718457759.3204982,13,1163.3741455078125
1718457762.3267057,14,1163.208984375
1718457765.4102688,15,1163.136962890625
1718457768.3715096,16,1163.03955078125
1718457771.482033,17,1162.9573974609375
1718457774.5549645,18,1162.900634765625
1718457777.5908191,19,1162.8221435546875
1718457780.6054258,20,1162.7742919921875
1718457783.8172219,21,1162.701171875
1718457787.2267427,22,1162.6602783203125
1718457790.5218003,23,1162.621337890625
1718457793.6398935,24,1162.550537109375
1718457796.8019607,25,1162.5457763671875
1718457800.1028984,26,1162.482666015625
1718457803.2146058,27,1162.4619140625
1718457806.3531003,28,1162.4168701171875
1718457809.5870304,29,1162.3734130859375
1718457812.7101405,30,1162.3563232421875
1718457815.836115,31,1162.3292236328125
1718457818.9793267,32,1162.309814453125
1718457821.9915652,33,1162.3128662109375
1718457825.0079958,34,1162.2689208984375
1718457828.0914001,35,1162.2254638671875
1718457831.2132773,36,1162.2242431640625
1718457834.3603277,37,1162.2216796875
1718457837.5708604,38,1162.2239990234375
1718457840.7884429,39,1162.1773681640625
1718457844.2844677,40,1162.1693115234375
1718457847.3834703,41,1162.1749267578125
1718457850.4204156,42,1162.146728515625
1718457853.618587,43,1162.1617431640625
1718457856.7615147,44,1162.132568359375
1718457859.8791788,45,1162.1246337890625
1718457863.119716,46,1162.127685546875
1718457866.2203407,47,1162.1004638671875
1718457869.2441099,48,1162.101318359375
1718457872.5360653,49,1162.107421875
1718457875.7539976,50,1162.10888671875
1718457878.8536942,51,1162.0811767578125
1718457881.9066525,52,1162.0718994140625
1718457885.121718,53,1162.0364990234375
1718457888.1940732,54,1162.0430908203125
1718457891.3653555,55,1162.0411376953125
1718457894.5389783,56,1162.0665283203125
1718457897.5942905,57,1162.0360107421875
1718457900.659119,58,1162.01708984375
1718457903.7022464,59,1162.0401611328125
1718457906.9323416,60,1162.011474609375
1718457910.0494683,61,1162.005859375
1718457913.113441,62,1162.0050048828125
1718457916.3269882,63,1161.9874267578125
1718457919.356643,64,1161.99072265625
1718457922.4565094,65,1162.0050048828125
1718457925.7310824,66,1161.9593505859375
1718457928.88282,67,1162.0029296875
1718457932.0278726,68,1161.963134765625
1718457935.032045,69,1161.9852294921875
1718457938.1484587,70,1161.9705810546875
1718457941.3146677,71,1161.965087890625
1718457944.4479287,72,1161.9693603515625
1718457947.5371113,73,1161.985107421875
1718457950.5229402,74,1161.9476318359375
1718457953.5121524,75,1161.9725341796875
1718457956.5850549,76,1161.944091796875
1718457959.8061168,77,1161.918701171875
1718457962.8058276,78,1161.9390869140625
1718457965.8090909,79,1161.9388427734375
1718457968.888711,80,1161.971923828125
1718457971.8935452,81,1161.94921875
1718457974.922373,82,1161.9383544921875
1718457978.078054,83,1161.9647216796875
1718457981.0894485,84,1161.937744140625
1718457984.0826135,85,1161.93994140625
1718457987.1396255,86,1161.931884765625
1718457990.3437374,87,1161.9300537109375
1718457993.447009,88,1161.9208984375
1718457996.4724808,89,1161.9400634765625
1718457999.6366446,90,1161.928955078125
1718458002.660119,91,1161.889892578125
1718458005.7748845,92,1161.9090576171875
1718458008.8391948,93,1161.917236328125
1718458012.0291393,94,1161.9617919921875
1718458015.0592146,95,1161.9102783203125
1718458018.0486438,96,1161.9169921875
1718458021.1321003,97,1161.92333984375
1718458024.3020477,98,1161.919677734375
1718458027.3687232,99,1161.8984375
1718458030.5840201,100,1161.896728515625
