Wall time,Step,Value
1718467719.4440973,0,1077.0875244140625
1718467722.3548455,1,796.6781616210938
1718467725.3317072,2,609.1301879882812
1718467728.2113438,3,499.9227600097656
1718467731.084984,4,421.56549072265625
1718467734.0485945,5,370.94854736328125
1718467736.9324746,6,332.8718566894531
1718467739.8148823,7,301.7739562988281
1718467742.7894733,8,278.9861755371094
1718467745.6816182,9,257.613525390625
1718467748.5748386,10,245.25201416015625
1718467751.461542,11,232.73068237304688
1718467754.4325771,12,219.26873779296875
1718467757.3240929,13,209.45278930664062
1718467760.2137065,14,198.69882202148438
1718467763.1885262,15,190.0944061279297
1718467766.0887764,16,181.6457977294922
1718467768.9845998,17,173.9080047607422
1718467771.876597,18,166.24386596679688
1718467774.8531902,19,161.41053771972656
1718467777.7534163,20,154.51080322265625
1718467780.6537879,21,149.34596252441406
1718467783.6633728,22,141.68702697753906
1718467786.57775,23,139.12295532226562
1718467789.4896986,24,133.11288452148438
1718467792.4027393,25,128.20994567871094
1718467795.406647,26,122.9200439453125
1718467798.3305924,27,119.90362548828125
1718467801.2500758,28,116.45582580566406
1718467804.2435458,29,113.2899398803711
1718467807.1599762,30,107.98036193847656
1718467810.0842423,31,105.10370635986328
1718467813.086041,32,102.57614135742188
1718467816.0292563,33,99.52151489257812
1718467818.9543493,34,96.35604095458984
1718467821.8775008,35,93.55828857421875
1718467824.8990908,36,91.2779541015625
1718467827.843433,37,89.4002914428711
1718467830.772455,38,84.63972473144531
1718467833.7909234,39,82.70963287353516
1718467836.715858,40,81.5394287109375
1718467839.6459823,41,79.90630340576172
1718467842.5840578,42,74.74734497070312
1718467845.611064,43,74.21173095703125
1718467848.550977,44,73.73967742919922
1718467851.4784822,45,71.66036987304688
1718467854.4995599,46,69.676025390625
1718467857.4359727,47,67.5700454711914
1718467860.3764577,48,67.72945404052734
1718467863.407312,49,64.38946533203125
1718467866.3436093,50,61.257442474365234
1718467869.298813,51,62.3306999206543
1718467872.250635,52,62.070945739746094
1718467875.2748606,53,61.938453674316406
1718467878.2145526,54,59.3648796081543
1718467881.1583068,55,55.59153366088867
1718467884.1771507,56,57.03263854980469
1718467887.1298323,57,52.81262969970703
1718467890.0769148,58,54.97108840942383
1718467893.0161068,59,55.00422668457031
1718467896.056912,60,50.8643798828125
1718467898.9988325,61,52.2889518737793
1718467901.941492,62,49.01865768432617
1718467904.9657354,63,51.54047393798828
1718467907.9091086,64,46.97069549560547
1718467910.8663511,65,47.08478546142578
1718467913.9110768,66,49.29877853393555
1718467916.8861816,67,46.343292236328125
1718467919.8559105,68,46.83891296386719
1718467922.8379517,69,45.492366790771484
1718467925.9019895,70,43.577152252197266
1718467928.8829992,71,43.80072784423828
1718467931.8488538,72,41.29072189331055
1718467934.887358,73,43.20564270019531
1718467937.8475513,74,37.72690963745117
1718467940.797218,75,42.830291748046875
1718467943.7507217,76,39.96574020385742
1718467946.7986603,77,46.458335876464844
1718467949.7470045,78,36.74536895751953
1718467952.702902,79,36.01042556762695
1718467955.7505357,80,39.07811737060547
1718467958.7360828,81,38.49214553833008
1718467961.712966,82,39.10675048828125
1718467964.7690682,83,35.902496337890625
1718467967.7270916,84,36.0163459777832
1718467970.6938322,85,35.87245178222656
1718467973.670988,86,35.50517272949219
1718467976.7186928,87,38.358943939208984
1718467979.6968272,88,30.738012313842773
1718467982.6676998,89,39.18226623535156
1718467985.6988752,90,29.339859008789062
1718467988.6667209,91,34.47224426269531
1718467991.6190858,92,33.184078216552734
1718467994.5932934,93,35.16278839111328
1718467997.6309593,94,31.77090835571289
1718468000.6067524,95,31.150108337402344
1718468003.574372,96,33.78984069824219
1718468006.611098,97,24.818572998046875
1718468009.5600896,98,30.874526977539062
1718468012.5143075,99,32.470577239990234
1718468015.5746574,100,30.22589683532715
1718468018.5511403,101,30.866117477416992
1718468021.527728,102,29.48826789855957
