Wall time,Step,Value
1718386321.9553826,0,1164.51171875
1718386323.31144,1,1087.6744384765625
1718386324.7085278,2,948.5345458984375
1718386326.019198,3,871.5770874023438
1718386327.3579602,4,812.6798706054688
1718386328.8278756,5,760.3118896484375
1718386330.1893983,6,722.9061279296875
1718386331.5735168,7,693.9042358398438
1718386333.0201945,8,670.7662353515625
1718386334.4069946,9,652.3980102539062
1718386335.764067,10,635.7080078125
1718386337.1257908,11,620.131103515625
1718386338.6219885,12,606.1724243164062
1718386339.9610322,13,593.7113037109375
1718386341.3106856,14,582.6561889648438
1718386342.7557218,15,572.3036499023438
1718386344.1281614,16,562.3828125
1718386345.489871,17,554.0745239257812
1718386346.872269,18,546.5714721679688
1718386348.379303,19,538.91064453125
1718386349.7224512,20,532.3889770507812
1718386351.1084664,21,525.3413696289062
1718386352.5580099,22,519.1046752929688
1718386353.9340847,23,513.3160400390625
1718386355.333812,24,507.5792236328125
1718386356.667744,25,502.86334228515625
1718386358.1177704,26,497.51556396484375
1718386359.486787,27,494.01019287109375
1718386360.8919702,28,488.5818786621094
1718386362.3185256,29,485.25811767578125
1718386363.6923602,30,481.2196350097656
1718386365.0759163,31,477.66314697265625
1718386366.5641549,32,473.41949462890625
1718386367.9243524,33,470.0948486328125
1718386369.286704,34,466.75885009765625
1718386370.6422246,35,464.64837646484375
1718386372.1126792,36,461.22021484375
1718386373.4444363,37,458.978759765625
1718386374.8020704,38,456.13836669921875
1718386376.3000271,39,453.3893127441406
1718386377.6445413,40,451.0782775878906
1718386379.1746476,41,448.50390625
1718386380.5036542,42,447.2082214355469
1718386382.011139,43,443.93695068359375
1718386383.3442822,44,442.1075134277344
1718386384.7014182,45,440.26861572265625
1718386386.1534355,46,437.9571228027344
1718386387.5120533,47,435.8823547363281
1718386388.9033406,48,434.1399230957031
1718386390.353356,49,431.820556640625
1718386391.7789998,50,431.1504211425781
1718386393.131121,51,428.89837646484375
1718386394.492174,52,426.8109130859375
1718386395.9771914,53,424.931396484375
1718386397.3344302,54,423.5381164550781
1718386398.7279007,55,421.74676513671875
1718386400.227128,56,420.3934326171875
1718386401.5828476,57,418.8299865722656
1718386402.9335566,58,417.3417663574219
1718386404.3028662,59,415.8965759277344
1718386405.77563,60,414.52667236328125
1718386407.1171968,61,413.35772705078125
1718386408.7156262,62,412.4019470214844
1718386410.264901,63,410.5010070800781
1718386411.7126658,64,409.1359558105469
1718386413.1954186,65,407.34979248046875
1718386414.7325559,66,407.2206726074219
1718386416.131644,67,405.0820007324219
1718386417.5516896,68,404.3681945800781
1718386419.0628972,69,403.30767822265625
1718386420.617119,70,401.5441589355469
1718386422.1365683,71,400.6478576660156
1718386423.5305183,72,399.9289245605469
1718386424.979847,73,399.243408203125
1718386426.407277,74,398.5941467285156
1718386427.7433195,75,396.59857177734375
1718386429.110213,76,395.24188232421875
1718386430.5752053,77,395.4304504394531
1718386431.9179392,78,393.5633239746094
1718386433.29283,79,391.91143798828125
1718386434.778966,80,391.8445129394531
1718386436.1055274,81,390.30548095703125
1718386437.4637473,82,389.84124755859375
1718386438.9468434,83,388.94671630859375
1718386440.2998097,84,387.65155029296875
1718386441.663109,85,387.1750183105469
1718386443.0293202,86,386.18084716796875
1718386444.541735,87,385.2116394042969
1718386446.006824,88,384.2214660644531
1718386447.392032,89,384.14129638671875
1718386448.8811927,90,382.93878173828125
1718386450.2557404,91,383.37646484375
1718386451.646168,92,380.7847595214844
1718386453.0389936,93,381.03314208984375
1718386454.5233326,94,380.1503601074219
1718386455.8781595,95,380.2454528808594
1718386457.257407,96,378.05816650390625
1718386458.7900403,97,378.12445068359375
1718386460.1328676,98,377.66754150390625
1718386461.503049,99,375.816650390625
1718386462.8681872,100,375.2084045410156
1718386464.324967,101,374.70989990234375
1718386465.691075,102,374.77459716796875
1718386467.088012,103,374.5311584472656
1718386468.5226583,104,372.9848327636719
1718386469.9259229,105,372.93316650390625
1718386471.2674248,106,372.176025390625
1718386472.7207725,107,371.310302734375
1718386474.140107,108,370.7213134765625
1718386475.5038462,109,370.24700927734375
1718386476.8922045,110,369.6446838378906
1718386478.3869526,111,369.4167175292969
1718386479.743194,112,367.7808837890625
1718386481.1636136,113,367.9023132324219
1718386482.597862,114,367.2311706542969
1718386483.9503267,115,366.8826904296875
1718386485.3207452,116,366.2958068847656
1718386486.7224154,117,365.07611083984375
1718386488.1575215,118,364.3968200683594
1718386489.533488,119,364.3192138671875
1718386490.8947573,120,364.38470458984375
1718386492.3777096,121,363.5762634277344
1718386493.736216,122,363.21026611328125
1718386495.090048,123,362.6809387207031
1718386496.5775318,124,361.21002197265625
1718386497.97589,125,361.5652770996094
1718386499.3415296,126,361.14935302734375
1718386500.7533412,127,359.92034912109375
1718386502.2069168,128,360.456787109375
1718386503.5693276,129,359.38330078125
1718386504.971169,130,358.5961608886719
1718386506.3967402,131,357.7738952636719
1718386507.7545345,132,357.6539611816406
1718386509.1104207,133,357.2734680175781
1718386510.484271,134,357.7122497558594
1718386511.9234123,135,356.3153076171875
1718386513.2755325,136,356.37420654296875
1718386514.6440053,137,354.9641418457031
1718386516.1175911,138,354.96197509765625
1718386517.4665763,139,354.6850280761719
1718386518.8223424,140,354.1597595214844
1718386520.273889,141,353.7644958496094
1718386521.7238305,142,353.08087158203125
1718386523.069226,143,352.8974609375
1718386524.4418967,144,352.0370178222656
1718386525.9051595,145,352.46673583984375
1718386527.254155,146,351.2062683105469
1718386528.6337075,147,350.9248352050781
1718386530.1045744,148,350.9070129394531
1718386531.4928355,149,350.2047119140625
1718386532.86159,150,349.68194580078125
1718386534.2249858,151,349.605224609375
1718386535.6925094,152,349.5564880371094
1718386537.0923297,153,348.2586975097656
1718386538.4555247,154,348.3885498046875
1718386539.9411082,155,347.4284973144531
1718386541.2797165,156,348.10662841796875
1718386542.6416137,157,347.994384765625
1718386544.1083264,158,347.286865234375
1718386545.4595618,159,346.0074462890625
1718386546.8163877,160,346.5370788574219
1718386548.1871045,161,345.5211181640625
1718386549.6450622,162,344.9467468261719
1718386551.0285013,163,345.78924560546875
1718386552.4127762,164,345.4632263183594
1718386553.9054322,165,344.2681884765625
1718386555.2548015,166,344.39105224609375
1718386556.6587772,167,343.8963928222656
1718386558.0517182,168,343.5592956542969
1718386559.5192986,169,343.9156188964844
1718386560.9275322,170,342.80908203125
1718386562.3073134,171,342.6223449707031
1718386563.7764375,172,342.1993408203125
1718386565.1443896,173,341.91351318359375
1718386566.5245528,174,341.70074462890625
1718386567.9684606,175,340.9548645019531
1718386569.3476605,176,340.9128112792969
1718386570.7182221,177,341.16668701171875
1718386572.0906565,178,340.3124694824219
1718386573.548106,179,340.9331359863281
1718386574.8928168,180,339.8834533691406
1718386576.268729,181,339.3280334472656
1718386577.729872,182,339.21466064453125
1718386579.093464,183,338.8251037597656
1718386580.4545321,184,338.6942443847656
1718386581.8098814,185,337.9591369628906
1718386583.2830052,186,337.7727966308594
1718386584.6563008,187,337.5771484375
1718386586.0516646,188,337.5472412109375
1718386587.5010529,189,336.9576416015625
1718386588.8817873,190,336.49786376953125
1718386590.2802508,191,336.778564453125
1718386591.6240659,192,336.46319580078125
1718386593.1738956,193,336.4868469238281
1718386594.7273846,194,335.3241271972656
1718386596.1450887,195,335.9581604003906
1718386597.7012153,196,335.6296081542969
1718386599.2103593,197,335.672607421875
1718386600.7153778,198,334.4313659667969
1718386602.3422446,199,335.1374816894531
1718386603.685634,200,334.4395446777344
1718386605.2061832,201,334.5861511230469
1718386606.5498657,202,333.6253356933594
1718386607.994503,203,333.6278991699219
1718386609.371176,204,333.043701171875
1718386610.7868714,205,333.3880920410156
1718386612.2227123,206,333.40380859375
1718386613.6131518,207,333.43634033203125
1718386615.009381,208,332.8221435546875
1718386616.3766396,209,331.7859802246094
1718386617.872565,210,332.0055847167969
1718386619.2295725,211,331.8356628417969
1718386620.6301923,212,331.0642395019531
1718386622.0874119,213,331.5495300292969
1718386623.4700086,214,331.0472106933594
1718386624.8643425,215,330.8095397949219
1718386626.3350792,216,330.11517333984375
1718386627.7474482,217,329.13958740234375
1718386629.1428404,218,330.094970703125
1718386630.5175977,219,329.118896484375
1718386631.969073,220,330.0788269042969
1718386633.3716166,221,328.2191162109375
1718386634.7195861,222,328.6839294433594
1718386636.1672027,223,329.2626037597656
1718386637.5698314,224,328.83038330078125
1718386638.952857,225,328.0107421875
1718386640.3513353,226,327.85369873046875
1718386641.7717893,227,327.3133544921875
1718386643.124804,228,327.9439697265625
1718386644.5014796,229,326.98077392578125
1718386645.9842553,230,327.2021179199219
1718386647.3209956,231,327.5241394042969
1718386648.693129,232,326.8719787597656
1718386650.176704,233,325.6459045410156
1718386651.5306108,234,325.42791748046875
1718386652.920925,235,326.1397705078125
1718386654.2862117,236,325.31500244140625
1718386655.7781472,237,324.6759338378906
1718386657.183046,238,324.92718505859375
1718386658.569124,239,324.5219421386719
1718386660.0507736,240,324.3953857421875
1718386661.4065526,241,324.676513671875
1718386662.769919,242,324.9476623535156
1718386664.1792717,243,323.9606628417969
1718386665.6874135,244,323.8158264160156
1718386667.0504637,245,323.9756164550781
1718386668.4488428,246,323.3362731933594
1718386669.8981473,247,323.35394287109375
1718386671.2949283,248,323.0473327636719
1718386672.7206733,249,321.7217712402344
1718386674.1811967,250,322.9790344238281
1718386675.5863135,251,322.0999755859375
1718386676.9339557,252,322.5270080566406
1718386678.3303368,253,322.6673889160156
1718386679.7975204,254,321.2584228515625
1718386681.189857,255,321.3856201171875
1718386682.5868835,256,320.6752014160156
1718386684.0208724,257,321.584228515625
1718386685.4058383,258,321.3038024902344
1718386686.7696078,259,320.8230285644531
1718386688.1700487,260,320.60406494140625
1718386689.6122177,261,320.8961181640625
1718386690.976775,262,320.07745361328125
1718386692.3403351,263,321.2466735839844
1718386693.8269186,264,319.582275390625
1718386695.212212,265,319.47015380859375
1718386696.5762055,266,319.3370361328125
1718386697.9613895,267,319.2722473144531
1718386699.4015906,268,318.6051025390625
1718386700.7588763,269,318.6513366699219
1718386702.1283877,270,319.96905517578125
1718386703.6158423,271,317.8233337402344
1718386704.9854765,272,318.765869140625
1718386706.3606434,273,318.299560546875
1718386707.8586757,274,319.1529235839844
1718386709.222506,275,318.2445373535156
1718386710.5751357,276,318.1463623046875
1718386711.9309638,277,318.0146179199219
1718386713.4032454,278,318.0028991699219
1718386714.7752964,279,317.0403137207031
1718386716.1447322,280,317.0032043457031
1718386717.6254487,281,317.4420166015625
1718386718.9683847,282,316.5719909667969
1718386720.3318362,283,316.7758483886719
1718386721.736234,284,317.2230224609375
1718386723.167963,285,316.1268310546875
1718386724.563658,286,316.75799560546875
1718386725.9459572,287,315.89959716796875
1718386727.454609,288,316.3239440917969
1718386728.8154066,289,315.769287109375
1718386730.2069836,290,315.40631103515625
1718386731.6708817,291,315.8659362792969
1718386733.0909798,292,315.47991943359375
1718386734.4650702,293,315.9164123535156
1718386735.8302717,294,315.6329040527344
1718386737.2800243,295,314.3995361328125
1718386738.65804,296,315.3298034667969
1718386740.0719285,297,313.5962219238281
1718386741.501257,298,314.14544677734375
1718386742.865781,299,314.6605529785156
1718386744.2387927,300,313.6954040527344
1718386745.6183238,301,314.054443359375
1718386747.1003935,302,313.7083435058594
1718386748.4649885,303,314.4195861816406
1718386749.8479807,304,313.3874816894531
1718386751.313701,305,313.60089111328125
1718386752.654023,306,313.17779541015625
1718386754.0291226,307,313.1124267578125
1718386755.4966629,308,313.9149169921875
1718386756.8374305,309,311.9803161621094
1718386758.1941388,310,312.8327941894531
1718386759.5572522,311,312.7530517578125
1718386761.0366807,312,312.9179382324219
1718386762.3614378,313,311.3961181640625
1718386763.710646,314,311.8833312988281
1718386765.2120059,315,312.7649230957031
1718386766.553791,316,312.6242370605469
1718386767.9405086,317,312.2060241699219
1718386769.3057659,318,311.1024169921875
1718386770.793873,319,311.5118713378906
1718386772.1476846,320,311.7264099121094
1718386773.5179582,321,311.5021667480469
1718386774.9983428,322,311.2606506347656
1718386776.3411455,323,310.6917419433594
1718386777.713595,324,311.0616455078125
1718386779.2149265,325,310.26739501953125
1718386780.5884776,326,310.8494873046875
1718386781.961216,327,310.3858337402344
1718386783.330463,328,310.3172302246094
1718386784.8056953,329,310.24761962890625
1718386786.1486073,330,310.4361877441406
1718386787.5088365,331,309.6775817871094
1718386788.9926832,332,309.03924560546875
1718386790.3446078,333,309.1558532714844
1718386791.6922243,334,309.0126037597656
1718386793.0522726,335,309.74151611328125
1718386794.5313437,336,310.203369140625
1718386795.8942738,337,308.43524169921875
1718386797.2654538,338,308.5614929199219
1718386798.7882118,339,308.93634033203125
1718386800.144781,340,308.2781982421875
1718386801.512539,341,308.67169189453125
1718386802.9908311,342,308.27838134765625
1718386804.3421366,343,307.874267578125
1718386805.700658,344,308.15679931640625
1718386807.0665267,345,308.37811279296875
1718386808.535629,346,307.9466552734375
1718386809.8939056,347,308.35546875
1718386811.2692564,348,307.5017395019531
1718386812.7455566,349,307.66851806640625
1718386814.0882273,350,306.8726501464844
1718386815.4554799,351,307.6878356933594
1718386816.8836558,352,306.5907897949219
1718386818.3109348,353,306.3349304199219
1718386819.6600132,354,306.46881103515625
1718386821.0482898,355,307.2450866699219
1718386822.5078223,356,306.4250793457031
1718386823.8819973,357,306.3063049316406
1718386825.2816997,358,306.96502685546875
1718386826.616142,359,306.9731140136719
1718386828.070244,360,305.59979248046875
1718386829.4444692,361,305.955322265625
1718386830.8086622,362,305.8038330078125
1718386832.315804,363,305.9610900878906
1718386833.6444077,364,305.1394348144531
1718386835.0142457,365,305.1289978027344
1718386836.4868996,366,305.9395446777344
1718386837.8396528,367,305.6966247558594
1718386839.192203,368,306.0881652832031
1718386840.597804,369,305.2292785644531
1718386842.0636616,370,305.3270263671875
1718386843.5051851,371,305.1420593261719
1718386844.8969142,372,304.39727783203125
1718386846.400848,373,304.543212890625
1718386847.7459219,374,304.75579833984375
1718386849.1024263,375,304.63824462890625
1718386850.4950407,376,304.7908630371094
1718386851.9536948,377,304.1744384765625
1718386853.3387337,378,304.33544921875
1718386854.7097454,379,304.03802490234375
1718386856.2050629,380,304.1510925292969
1718386857.5648699,381,303.9729919433594
1718386858.9395735,382,303.7026672363281
1718386860.3857095,383,304.134033203125
1718386861.8302114,384,303.8998718261719
1718386863.19019,385,303.8246154785156
1718386864.5730836,386,303.7260437011719
1718386866.064503,387,303.4808654785156
1718386867.41694,388,303.19403076171875
1718386868.7764993,389,304.08392333984375
1718386870.2826579,390,303.6698303222656
1718386871.6134067,391,303.29541015625
1718386872.962246,392,302.6040344238281
1718386874.3246102,393,302.5702209472656
1718386875.8062892,394,302.09625244140625
1718386877.16842,395,302.86859130859375
1718386878.5266752,396,302.9534606933594
1718386880.0092473,397,302.8130187988281
1718386881.356927,398,301.7370300292969
1718386882.711423,399,302.6180419921875
1718386884.2514067,400,301.3580627441406
1718386885.657804,401,301.22576904296875
1718386887.0501227,402,301.72869873046875
1718386888.4306056,403,301.9320983886719
1718386889.9123995,404,301.677978515625
1718386891.2520921,405,301.42022705078125
1718386892.6334085,406,301.40191650390625
1718386894.1090999,407,301.4582214355469
1718386895.486627,408,300.9028015136719
1718386896.9615896,409,301.4386291503906
1718386898.3546524,410,300.84521484375
1718386899.8681154,411,300.53466796875
1718386901.2699707,412,301.1049499511719
1718386902.6205773,413,300.36236572265625
1718386904.0704606,414,301.04156494140625
1718386905.4424484,415,301.1592102050781
1718386906.837166,416,300.0552673339844
1718386908.2552702,417,299.34521484375
1718386909.630918,418,299.9063415527344
1718386910.9810507,419,299.6305236816406
1718386912.3619912,420,300.007080078125
1718386913.7963934,421,300.296875
1718386915.1607513,422,300.75341796875
1718386916.5441277,423,299.6199035644531
1718386917.9902601,424,299.39886474609375
